
6750 Judy Lane 	Available for Sale or rent.	N\A	N\A	http://atlanta.craigslist.org/sat/reo/4340820695.html	https://maps.google.com/?q=loc%3A+%36%37%35%30+Judy+Lane++Riverdale+GA+US
1306 Mill Lake Circle 	13% CAP Rate	N\A	N\A	http://atlanta.craigslist.org/eat/reo/4322184891.html	https://maps.google.com/?q=loc%3A+%31%33%30%36+Mill+Lake+Circle++Stone+Mountain++GA+US
Pelham St NW.	I am selling my cute single family home. , It has 4 bedrooms and 2 baths. It is built year 1945 with a sq.ft of 786. It's in a great condition that can be good as a rental property. Lot size of 2,613 sq.ft.	N\A	N\A	http://atlanta.craigslist.org/atl/reo/4348039283.html	https://maps.google.com/?q=loc%3A+Pelham+St+NW%2E+Atlanta+GA+US
1057 Thornwoode Lane 	New Townhome with a renter already in place!!!!!	N\A	N\A	http://atlanta.craigslist.org/atl/reo/4340829221.html	https://maps.google.com/?q=loc%3A+%31%30%35%37+Thornwoode+Lane++Stone+Mountain++GA+US
2720 Thurnbury Way 	As is price $65k, rehabbed price $79,500	N\A	N\A	http://atlanta.craigslist.org/atl/reo/4340810320.html	https://maps.google.com/?q=loc%3A+%32%37%32%30+Thurnbury+Way++College+Park+GA+US
6166 Hyde Park Lane	Perfect Turnkey Investment property to add to your portfolio.  	N\A	N\A	http://atlanta.craigslist.org/eat/reo/4343600311.html	https://maps.google.com/?q=loc%3A+%36%31%36%36+Hyde+Park+Lane+Lithonia+GA+US
N\A	Vendo mi casa año 2000 esta en Dallas Ga, tiene 4 cuartos 2 baños y basement, tengo 7 años pagandola la trespaso la casa se encuentra en buenas condiciones interesados llamarme al num. 4706732655	N\A	N\A	http://atlanta.craigslist.org/wat/reo/4348087501.html	N\A
8126 Orkney way	4 bedroom 2.5 bath, 3100sq.ft., fenced yard, inground pool, walk to club house/golf course, no HOA fees. Very large fenced yard, privacy fence around pool. Everything is on main floor except 1 bedroom and large bonus room upstairs. Also 1 large and 1 medium size living room on main. Entire home remodeled. Carpet, porcelain tiles, paint, fixtures, etc. new pool liner, salt water, hot water circ. pump and timer. Beautiful home. Make offer. All offers considered. Cedar siding, beige/chocolate. This is not a cookie cutter home. It's very unique and different. Built in 1980. Non smokers. South side of Douglasville. Alexander high school.	N\A	N\A	http://atlanta.craigslist.org/wat/reo/4348047972.html	https://maps.google.com/?q=loc%3A+%38%31%32%36+Orkney+way+Winston+Ga+US
6266 Hillpine Drive	Perfect Turnkey Investment property to add to your portfolio.  	N\A	N\A	http://atlanta.craigslist.org/wat/reo/4342195138.html	https://maps.google.com/?q=loc%3A+%36%32%36%36+Hillpine+Drive+Douglasville+GA+US
230 Remington Trail	Great wholesale deal in Henry County -- INVESTOR SPECIAL!!	N\A	N\A	http://atlanta.craigslist.org/eat/reo/4330570881.html	https://maps.google.com/?q=loc%3A+%32%33%30+Remington+Trail+Ellenwood+GA+US
1772 Dodson Dr	All Brick House	N\A	N\A	http://atlanta.craigslist.org/atl/reo/4332645286.html	https://maps.google.com/?q=loc%3A+%31%37%37%32+Dodson+Dr+Atlanta+GA+US
